chemical formula,"lattice constant, a0","lattice mismatch, delta","valence electron concentration, vec","average displacement, <u>","displacement l21 norm, l21_norm_u",<u>/l21_norm_u,"local lattice displacement, lld","total occupied states, g_occ","total bonding states, g_bond",g_occ/g_bond,"Hartigan's dip, dip",epsilon_p
Hf10Mo10Nb10Ti14Zr10,3.3534393140553784,5.217538551197913,4.555555555555555,0.17505404063869626,9.452918194489598,0.018518518518518517,0.047325102880658436,2.711679801692268,3.581794764358935,0.7570729145832567,0.029486058797871778,80.10269856375817
Hf10Mo10Nb10Ti14Zr10,3.353271843468117,5.217538551197913,4.555555555555555,0.1550922625795282,8.374982179294523,0.018518518518518517,0.047325102880658436,2.7061532117753186,3.5662324374419847,0.7588269298891829,0.02908253080664504,77.92758897419299
Cr18Mo18Nb18Ti18,3.1360964505133375,5.416339602893964,5.25,0.08842877527265114,6.366871819630882,0.013888888888888888,0.04513888888888889,3.589323888883585,3.865171485133585,0.9286325076879567,0.020240111531306924,4.018031405705187
Cr18Mo18Nb18Ti18,3.135882146677305,5.416339602893964,5.25,0.1010893451246328,7.278432848973561,0.01388888888888889,0.045138888888888895,3.6274824212382963,3.932074223738296,0.9225366091359235,0.026061687460404506,4.252979928985951
Cr18Mo18Nb18Ti18,3.1354431073172973,5.416339602893964,5.25,0.0888166598988586,6.394799512717819,0.01388888888888889,0.045138888888888895,3.5999757750322234,3.882007420032224,0.9273490195962429,0.02767794326882427,4.066798531008317
Cr18Mo18Nb18Ti18,3.1354054202686608,5.416339602893964,5.25,0.1014092411528645,7.301465363006244,0.013888888888888888,0.04513888888888889,3.604969088728286,3.935402347978287,0.9160357112101251,0.03416801144402297,4.525531994373523
Cr18Mo18Nb18Ti18,3.136689340772532,5.416339602893964,5.25,0.09616573107580326,6.923932637457835,0.013888888888888888,0.04513888888888888,3.628581503184996,3.924016409309996,0.9247110930973528,0.025084154931885667,4.167894557618638
Mo12Nb12Ta12Ti6W12,3.229650235780357,2.5105663436524535,5.333333333333333,0.045889634262847985,2.478040250193791,0.01851851851851852,0.06172839506172839,3.603530255059297,3.90836534439263,0.9220044539155781,0.02612557940471841,4.274149057882823
Mo12Nb12Ta12Ti6W12,3.2296931716647213,2.5105663436524535,5.333333333333333,0.05043610941706088,2.7235499085212873,0.01851851851851852,0.06172839506172839,3.5762687945769143,3.8849926439102473,0.9205342512508332,0.026158327131663068,4.333510288694015
Mo12Nb12Ta12Ti6W12,3.229898054075045,2.5105663436524535,5.333333333333333,0.049278715496240494,2.6610506367969866,0.018518518518518517,0.061728395061728385,3.598273474672467,3.9100063890057997,0.9202730422103997,0.023313993706223217,4.344205622170193
Mo12Nb12Ta12Ti6W12,3.2304224843484266,2.5105663436524535,5.333333333333333,0.04624973562881892,2.497485723956222,0.018518518518518517,0.061728395061728385,3.59026968131069,3.8913192436440225,0.922635604152741,0.022531673448347094,4.249058713396153
Mo12Nb12Ta12Ti6W12,3.229697446644256,2.5105663436524535,5.333333333333333,0.05005523545998708,2.7029827148393024,0.018518518518518517,0.061728395061728385,3.5821101909912914,3.8927453489912907,0.9202015209958461,0.026992420202110737,4.347142506094315
Hf16Mo16Nb16Ta16Ti16Zr16,3.3493228941099105,5.046363566446506,4.666666666666667,0.16153028546533396,15.506907404672061,0.010416666666666666,0.02777777777777778,3.5821101909912914,3.8927453489912907,0.9202015209958461,0.026992420202110737,4.347142506094315
Hf16Mo16Nb16Ta16Ti16Zr16,3.349461004941327,5.046363566446506,4.666666666666667,0.1515739674883324,14.551100878879911,0.010416666666666666,0.02777777777777778,3.5821101909912914,3.8927453489912907,0.9202015209958461,0.026992420202110737,4.347142506094315
Hf16Mo16Nb16Ta16Ti16Zr16,3.3499516782957235,5.046363566446506,4.666666666666667,0.1557916928463726,14.956002513251768,0.010416666666666668,0.027777777777777783,3.5821101909912914,3.8927453489912907,0.9202015209958461,0.026992420202110737,4.347142506094315
Hf16Mo16Nb16Ta16Ti16Zr16,3.350995769589874,5.046363566446506,4.666666666666667,0.1669896549140264,16.031006871746534,0.010416666666666666,0.02777777777777778,3.5821101909912914,3.8927453489912907,0.9202015209958461,0.026992420202110737,4.347142506094315
Hf16Mo16Nb16Ta16Ti16Zr16,3.3489307459908746,5.046363566446506,4.666666666666667,0.15135898695708658,14.53046274788031,0.010416666666666668,0.027777777777777783,3.5821101909912914,3.8927453489912907,0.9202015209958461,0.026992420202110737,4.347142506094315
Cr35Re19,2.9490629452201516,3.276695542116301,6.351851851851852,0.07788970727384373,4.206044192787561,0.018518518518518517,0.08058984910836764,4.560978604332163,4.054011802165498,1.1250531145212412,0.019221446869553727,
Cr35Re19,2.9477407220597014,3.276695542116301,6.351851851851852,0.08398892918048464,4.535402175746171,0.018518518518518517,0.08058984910836763,4.563825461367964,4.066036716534629,1.1224260329005553,0.014931901034215529,
Cr35Re19,2.9480670680252317,3.276695542116301,6.351851851851852,0.07981045161414321,4.3097643871637334,0.018518518518518517,0.08058984910836764,4.569884187051423,4.05934951821809,1.125767605509722,0.02063922938702574,
Cr35Re19,2.948648347241609,3.276695542116301,6.351851851851852,0.0801632681366064,4.328816479376746,0.018518518518518517,0.08058984910836763,4.566340689554929,4.063934110888261,1.1236256703376661,0.016652584599590632,
Cr35Re19,2.94890938115938,3.276695542116301,6.351851851851852,0.07221121375975595,3.899405543026821,0.01851851851851852,0.08058984910836763,4.567450779409382,4.062520973076049,1.1242897722078742,0.01681148898471135,
Nb18Ta18Ti18W18,3.251545618928676,2.215613922987146,5.0,0.0623601191079493,4.48992857577235,0.013888888888888888,0.041666666666666664,3.325975058296775,3.789770334996775,0.8776191600802125,0.02621182549106214,7.806121748142687
Nb18Ta18Ti18W18,3.2515324888265043,2.215613922987146,5.0,0.0660538028931869,4.755873808309456,0.01388888888888889,0.041666666666666664,3.27877572637422,3.7390427126617203,0.8769024529383219,0.026806248007026915,7.912010873240433
Nb18Ta18Ti18W18,3.2508911580116315,2.215613922987146,5.0,0.06133487002798821,4.416110642015151,0.013888888888888888,0.041666666666666664,3.322668448018661,3.777433120319913,0.8796101326440592,0.01603628316506473,7.523248110561326
Nb18Ta18Ti18W18,3.250274900869483,2.215613922987146,5.0,0.06599189718936842,4.751416597634526,0.01388888888888889,0.041666666666666664,3.29068679093527,3.742719581685271,0.8792234414349419,0.01652526251885996,7.576910102283364
Nb18Ta18Ti18W18,3.251509193082794,2.215613922987146,5.0,0.05920489294020384,4.262752291694676,0.01388888888888889,0.04166666666666667,3.356467922326225,3.8083861547762248,0.8813360268408618,0.02353133603476824,7.291069673183301
Cr18Mo18Nb18Ta18W18,3.166874582683542,4.72127709263154,5.6,0.07436570571164353,6.692913514047917,0.011111111111111112,0.04,3.980026837065356,5.7525730853853565,0.6918689737600683,0.01745947094952314,195.60960577219703
Cr18Mo18Nb18Ta18W18,3.166917785758503,4.72127709263154,5.6,0.07175827077806066,6.458244370025459,0.011111111111111112,0.039999999999999994,4.00081279379148,4.2188769239914805,0.9483122797538996,0.014956845206727932,3.1713666275372816
Cr18Mo18Nb18Ta18W18,3.1660010090427244,4.72127709263154,5.6,0.06851844737947155,6.166660264152439,0.011111111111111112,0.04,3.917861313892171,6.7803477343481715,0.5778260153302911,0.013355684529084106,610.5781062809292
